	2161	232	2008-12-01 20:00:00	3686	7	A Christmas Carol
0	2161	307	2008-12-01           19:00:00	52	opera	Madama Butterfly
1	2161	226	2008-12-01           20:00:00	2387	theatre	Passing Strange
2	2161	46	2008-12-01           19:00:00	5341	music	Rock To Win At the DNC
3	2161	210	2008-12-01           14:00:00	2101	theatre	Hedda Gabler
4	2161	308	2008-12-01           14:00:00	127	opera	The Birds (Die Vogel)
5	2161	215	2008-12-01           19:30:00	1927	theatre	The Caretaker
6	2161	219	2008-12-01           19:00:00	790	musical	Oliver!
7	2161	201	2008-12-01           15:00:00	3558	theatre	A Tale of Two Cities
8	2161	94	2008-12-01           19:30:00	7599	music	Kiss
9	2161	231	2008-12-01           20:00:00	2766	theatre	Uncle Vanya
10	2161	73	2008-12-01           19:30:00	5708	music	Coheed and Cambria
11	2161	206	2008-12-01           19:00:00	1868	theatre	A Man For All Seasons
12	2161	65	2008-12-01           14:00:00	7467	music	Dolly Parton
13	2161	124	2008-12-01           19:30:00	5227	music	Brand New
14	2161	88	2008-12-01           14:00:00	5160	music	Conor Oberst
15	2161	206		3444	theatre	Young Frankenstein
16	2161	97	2008-12-01           14:00:00	5891	music	Bryan Adams
17	2162	309	2008-12-02           14:00:00	353	opera	Simon Boccanegra
18	2162	107	2008-12-02           19:00:00	6193	music	Hippiefest
19	2162	5	2008-12-02           19:00:00	8362	music	Hootie and the Blowfish
20	2162	205	2008-12-02           20:00:00	2333	theatre	The Bacchae
21	2162	123	2008-12-02           19:00:00	5266	music	Natasha Bedingfield
22	2162	263	2008-12-02           14:00:00	1597	musical	Mystere Cirque du Soleil
23	2162	65	2008-12-02           15:00:00	6113	music	Rancid
24	2162	13	2008-12-02           19:30:00	5480	music	Sammy Hagar
25	2162	225	2008-12-02           14:30:00	3039	theatre	Glengarry Glen Ross
26	2163	211	2008-12-03           19:00:00	819	musical	Pal Joey
27	2163	50	2008-12-03           19:00:00	6053	music	Dj Tiesto
28	2163	49	2008-12-03           19:30:00	8379	music	Bullet for My Valentine
29	2163	203	2008-12-03           14:00:00	1363	musical	Mary Poppins
30	2163	124	2008-12-03           19:00:00	5690	music	Michael McDonald
31	2163	231	2008-12-03           20:00:00	1122	musical	Flower Drum Song
32	2163	102	2008-12-03           19:00:00	3917	music	Mariah Carey
33	2163	117	2008-12-03           19:30:00	7606	music	Crosby Stills Nash
34	2163	16	2008-12-03           14:00:00	7622	music	Rock To Win At the DNC
35	2163	220	2008-12-03           14:00:00	2178	theatre	A Tale of Two Cities
36	2163	120	2008-12-03           15:00:00	6477	music	Earth Wind and Fire
37	2164	56	2008-12-04           20:00:00	4144	music	Boston
38	2164	233	2008-12-04           19:00:00	3705	theatre	Scrooge
39	2164	209	2008-12-04           19:30:00	2268	theatre	November
40	2164	6	2008-12-04           15:00:00	4971	music	Justin Timberlake
41	2164	233	2008-12-04           15:00:00	1831	theatre	Spring Awakening
42	2164	302		376	opera	Salome
43	2164	206	2008-12-04           14:30:00	3220	theatre	A Bronx Tale
44	2164	221	2008-12-04           19:30:00	2061	theatre	The 39 Steps
45	2164	65	2008-12-04           14:00:00	5634	music	Led Zeppelin
46	2164	246	2008-12-04           20:00:00	1052	musical	Chicago
47	2164	31	2008-12-04           19:30:00	7859	music	Nashville Star
48	2164	5	2008-12-04           19:00:00	4741	music	Spoon
49	2165	120	2008-12-05           19:30:00	4011	music	Armando Manzanero
50	2165	207	2008-12-05           14:00:00	591	musical	The King and I
51	2165	38	2008-12-05           14:30:00	4649	music	Sevendust
52	2165	235	2008-12-05           19:00:00	1893	theatre	The Seagull
53	2165	67	2008-12-05           19:30:00	8097	music	Kiss
54	2165	233	2008-12-05           14:00:00	520	musical	Kiss Me Kate
55	2165	215	2008-12-05           15:00:00	2622	theatre	The Cherry Orchard
56	2165	258		1526	musical	Le Reve
57	2165	202	2008-12-05           20:00:00	675	musical	Jersey Boys
58	2165	229	2008-12-05           14:00:00	781	musical	Curtains
59	2165	236	2008-12-05           15:00:00	2369	theatre	King Lear
60	2165	202	2008-12-05           15:00:00	2079	theatre	Glengarry Glen Ross
61	2166	306	2008-12-06           19:00:00	473	opera	Das Rheingold
62	2166	41	2008-12-06           15:00:00	3877	music	Michael McDonald
63	2166	306	2008-12-06           19:00:00	129	opera	Salome
64	2166	126	2008-12-06           19:30:00	5398	music	Motorhead
65	2166	225	2008-12-06           14:30:00	1253	musical	Memphis - The Birth of Rock n Roll
66	2166	220	2008-12-06           14:00:00	2604	theatre	The Seafarer
67	2166	306	2008-12-06           19:00:00	223	opera	Eugene Onegin
68	2166	228	2008-12-06           14:00:00	1969	theatre	The Farnsworth Invention
69	2166	248	2008-12-06           19:30:00	857	musical	Jersey Boys
70	2166	57	2008-12-06           15:00:00	8699	music	KT Tunstall
71	2166	99	2008-12-06           19:00:00	6779	music	Coheed and Cambria
72	2166	10	2008-12-06           14:00:00	4061	music	Foo Fighters
73	2166	57	2008-12-06           15:00:00	6883	music	Blind Melon
74	2166	224	2008-12-06           20:00:00	2889	theatre	The Seafarer
75	2166	117	2008-12-06           19:30:00	6123	music	Ted Nugent
76	2167	208	2008-12-07           19:00:00	2034	theatre	Rhinoceros
77	2167	222	2008-12-07           19:30:00	2128	theatre	The Seagull
78	2167	220	2008-12-07           15:00:00	3395	theatre	Hamlet
79	2167	33	2008-12-07           19:00:00	5058	music	George Michael
80	2167	229	2008-12-07           15:00:00	1177	musical	Gypsy
81	2167	117	2008-12-07           14:00:00	4319	music	Tom Jones
82	2167	260	2008-12-07           19:30:00	1767	musical	Legally Blonde
83	2167	244	2008-12-07           19:00:00	3748	theatre	Spring Awakening
84	2167	81	2008-12-07           14:00:00	5491	music	Joe Cocker
85	2167	68	2008-12-07           14:00:00	8158	music	Amos Lee
86	2167	36	2008-12-07           19:30:00	7532	music	Iggy and the Stooges
87	2167	76	2008-12-07           15:00:00	4958	music	Kanye West
88	2168	307	2008-12-08           20:00:00	190	opera	Cavalleria Rusticana and Pagliacci
89	2168	87	2008-12-08           19:30:00	7457	music	Tom Petty and the Heartbreakers
90	2168	22	2008-12-08           19:00:00	5506	music	Yaz
91	2168	24	2008-12-08           19:00:00	3859	music	Billy Joel
92	2168	218	2008-12-08           19:30:00	2636	theatre	Hedda Gabler
93	2168	251	2008-12-08           19:30:00	1718	musical	Beatles LOVE
94	2168	86	2008-12-08           19:30:00	4106	music	Great Big Sea
95	2168	303	2008-12-08           14:00:00	432	opera	Carmen
96	2169	9	2008-12-09           14:00:00	7456	music	Idina Menzel
97	2169	127	2008-12-09           14:00:00	4197	music	Paramore
98	2169	35	2008-12-09           19:00:00	4707	music	Brad Paisley
99	2169	206	2008-12-09           19:30:00	3537	theatre	The 39 Steps
100	2169	213	2008-12-09           19:30:00	3222	theatre	Scrooge
101	2169	11	2008-12-09           19:30:00	8722	music	Boz Scaggs
102	2169	219	2008-12-09           19:30:00	940	musical	Shrek the Musical
103	2169	91	2008-12-09           15:00:00	6309	music	Mars Volta
104	2169	56	2008-12-09           15:00:00	7292	music	Black Crowes
105	2169	237	2008-12-09           14:30:00	2452	theatre	Spring Awakening
106	2169	309	2008-12-09           19:30:00	83	opera	Cavalleria Rusticana and Pagliacci
107	2169	123	2008-12-09           14:30:00	3991	music	The Whigs
108	2169	96	2008-12-09           15:00:00	4783	music	Steve Miller Band
109	2169	301	2008-12-09           19:00:00	177	opera	Tristan und Isolde
110	2169	110	2008-12-09           14:00:00	6664	music	Donny Osmond
111	2170	205	2008-12-10           14:00:00	2030	theatre	Endgame
112	2170	203	2008-12-10           19:30:00	3616	theatre	The Bacchae
113	2170	249	2008-12-10           14:00:00	3320	theatre	Spring Awakening
114	2170	260	2008-12-10           14:30:00	1658	musical	Le Reve
115	2170	71	2008-12-10           19:00:00	5835	music	LeAnn Rimes
116	2170	253	2008-12-10           14:00:00	1515	musical	Blue Man Group
117	2170	74	2008-12-10           20:00:00	4323	music	Huey Lewis and the News
118	2170	6	2008-12-10           19:00:00	5280	music	Boston
119	2170	33	2008-12-10           19:00:00	8129	music	Dierks Bentley
120	2170	101	2008-12-10           19:30:00	8657	music	Jamboree in the Hills
121	2170	110	2008-12-10           14:00:00	7109	music	Rush
122	2170	243	2008-12-10           14:30:00	2575	theatre	The Cherry Orchard
123	2170	52	2008-12-10           19:00:00	8667	music	Foo Fighters
124	2170	52	2008-12-10           19:30:00	6535	music	Hall and Oates
125	2171	23	2008-12-11           14:00:00	8606	music	Great Big Sea
126	2171	107	2008-12-11           19:00:00	6562	music	.38 Special
127	2171	29	2008-12-11           19:00:00	4827	music	Lionel Richie
128	2171	231	2008-12-11           19:00:00	1876	theatre	Electra
129	2171	34	2008-12-11           15:00:00	7166	music	The National
130	2171	237	2008-12-11           15:00:00	3597	theatre	A Bronx Tale
131	2171	237	2008-12-11           20:00:00	1445	musical	Mamma Mia!
132	2171	303	2008-12-11           19:30:00	367	opera	Orfeo ed Euridice
133	2171	300	2008-12-11           14:30:00	216	opera	Salome
134	2171	202	2008-12-11           14:30:00	2375	theatre	A Christmas Carol
135	2172	42	2008-12-12           19:30:00	3989	music	Bad Company
136	2172	7	2008-12-12           14:00:00	5102	music	Natalie Cole
137	2172	13	2008-12-12           15:00:00	4825	music	N.E.R.D.
138	2172	15	2008-12-12           15:00:00	4838	music	Poison
139	2172	306	2008-12-12           14:30:00	22	opera	La Rondine
140	2172	90	2008-12-12           15:00:00	6110	music	David Sanborn
141	2172	227	2008-12-12           15:00:00	3609	theatre	All My Sons
142	2172	29	2008-12-12           19:00:00	7660	music	Toad The Wet Sprocket
143	2172	41	2008-12-12           14:00:00	6827	music	Tailgate 2008
144	2172	213	2008-12-12           20:00:00	3420	theatre	The Country Girl
145	2172	70	2008-12-12           14:00:00	7474	music	Merle Haggard
146	2172	57	2008-12-12           15:00:00	4366	music	Ben Harper
147	2173	103	2008-12-13           19:00:00	8623	music	Daughtry
148	2173	57	2008-12-13           19:00:00	8346	music	John Mayer
149	2173	209	2008-12-13           20:00:00	1440	musical	State Fair
150	2173	213	2008-12-13           14:00:00	2918	theatre	A Doll's House
151	2173	94	2008-12-13           15:00:00	7354	music	Christina Aguilera
152	2173	114	2008-12-13           19:00:00	5920	music	George Jones
153	2173	232	2008-12-13           20:00:00	3551	theatre	The Country Girl
154	2173	223	2008-12-13           15:00:00	2873	theatre	August: Osage County
155	2173	70	2008-12-13           20:00:00	4746	music	Jerry Jeff Walker
156	2173	20	2008-12-13           19:00:00	5241	music	Rock the Bells
157	2173	4	2008-12-13           14:00:00	6290	music	Gipsy Kings
158	2173	44	2008-12-13           19:30:00	5665	music	Joe Satriani
159	2173	207	2008-12-13           14:30:00	632	musical	Spamalot
160	2173	238	2008-12-13           14:00:00	2836	theatre	Waiting for Godot
161	2173	244	2008-12-13           15:00:00	2999	theatre	A Christmas Carol
162	2174	306	2008-12-14           15:00:00	231	opera	Carmen
163	2174	73	2008-12-14           14:00:00	5000	music	Iggy and the Stooges
164	2174	91	2008-12-14           15:00:00	6558	music	Echo & the Bunnymen
165	2174	226	2008-12-14           15:00:00	860	musical	Hairspray
166	2174	63	2008-12-14           19:00:00	6176	music	Brand New
167	2174	74	2008-12-14           14:00:00	8599	music	John Hiatt
168	2174	69	2008-12-14           14:00:00	4840	music	Sara Evans
169	2174	102	2008-12-14           19:00:00	8314	music	Snoop Dogg
170	2174	75	2008-12-14           19:30:00	6813	music	Alejandro Fernandez
171	2174	5	2008-12-14           19:30:00	6331	music	Sunday in the Country
172	2174	72	2008-12-14           14:00:00	6924	music	Flogging Molly
173	2174	23	2008-12-14           19:00:00	7010	music	Arlo Guthrie
174	2174	206	2008-12-14           19:30:00	2960	theatre	Oedipus the King
175	2174	94	2008-12-14           19:30:00	6509	music	Chris Botti
176	2175	3	2008-12-15           19:00:00	6010	music	Kanye West
177	2175	233	2008-12-15           14:30:00	1499	musical	Gypsy
178	2175	46	2008-12-15           15:00:00	4219	music	Vicente Fernandez
179	2175	243	2008-12-15           19:00:00	3614	theatre	Avenue Q
180	2175	48	2008-12-15           15:00:00	5155	music	George Clinton
181	2175	218	2008-12-15           14:00:00	575	musical	Spamalot
182	2176	235	2008-12-16           15:00:00	2561	theatre	King Lear
183	2176	241	2008-12-16           15:00:00	3511	theatre	Spring Awakening
184	2176	34	2008-12-16           15:00:00	6537	music	Reba McEntire
185	2176	112	2008-12-16           19:00:00	7452	music	David Sanborn
186	2176	71	2008-12-16           19:30:00	7413	music	Dennis DeYoung
187	2176	55	2008-12-16           19:00:00	5556	music	Jonas Brothers
188	2176	38	2008-12-16           14:00:00	7846	music	Bamboozle Left
189	2176	69	2008-12-16           15:00:00	8230	music	Teena Marie
190	2176	52	2008-12-16           19:30:00	6644	music	Smash Mouth
191	2176	90	2008-12-16           19:00:00	8767	music	Nine Inch Nails
192	2176	94	2008-12-16           19:30:00	5965	music	Jamboree in the Hills
193	2176	243	2008-12-16           14:30:00	2062	theatre	August: Osage County
194	2177	120	2008-12-17           14:00:00	5061	music	Madonna
195	2177	241	2008-12-17           20:00:00	2424	theatre	Glengarry Glen Ross
196	2177	238	2008-12-17           14:30:00	1353	musical	Billy Elliot the Musical
197	2177	213	2008-12-17           14:00:00	839	musical	Jersey Boys
198	2177	203	2008-12-17           14:30:00	2951	theatre	The Caucasian Chalk Circle
199	2177	27	2008-12-17           19:00:00	5251	music	Isaac Hayes
200	2177	75	2008-12-17           19:30:00	6793	music	Paramore
201	2177	28	2008-12-17           19:00:00	7104	music	Casting Crowns
202	2177	239	2008-12-17           20:00:00	3658	theatre	The Homecoming
203	2177	200	2008-12-17           14:00:00	2711	theatre	Uncle Vanya
204	2177	42	2008-12-17           14:00:00	6999	music	Nofx
205	2178	12	2008-12-18           19:30:00	4434	music	Trisha Yearwood
206	2178	206	2008-12-18           15:00:00	713	musical	Chicago
207	2178	29	2008-12-18           15:00:00	5744	music	Paul McCartney
208	2178	215	2008-12-18           14:30:00	1081	musical	Mamma Mia!
209	2178	126	2008-12-18           14:30:00	4485	music	Elton John
210	2178	218	2008-12-18           15:00:00	2818	theatre	The Cherry Orchard
211	2178	112	2008-12-18           19:00:00	4343	music	Maroon 5
212	2178	110	2008-12-18           15:00:00	4594	music	Black Crowes
213	2178	16	2008-12-18           14:00:00	7217	music	Steven Curtis Chapman
214	2179	215	2008-12-19           15:00:00	2272	theatre	November
215	2179	238	2008-12-19           19:30:00	2768	theatre	Our Town
216	2179	30	2008-12-19           19:30:00	7575	music	Vampire Weekend
217	2179	229	2008-12-19           15:00:00	3302	theatre	The Bacchae
218	2179	4	2008-12-19           14:00:00	7602	music	Los Lonely Boys
219	2179	7	2008-12-19           19:00:00	6693	music	Michael McDonald
220	2179	91	2008-12-19           19:00:00	4286	music	Counting Crows and Maroon 5
221	2179	61	2008-12-19           15:00:00	4870	music	Weird Al Yankovic
222	2179	213	2008-12-19           14:30:00	3352	theatre	Young Frankenstein
223	2179	222	2008-12-19           14:30:00	2554	theatre	A Doll's House
224	2179	11		6000	music	Jerry Jeff Walker
225	2179	107	2008-12-19           19:00:00	7874	music	Hot Tuna
226	2179	38	2008-12-19           19:30:00	4984	music	The Rowdy Frynds Tour
227	2179	243	2008-12-19           19:00:00	1024	musical	A Catered Affair
228	2180	246	2008-12-20           14:30:00	3566	theatre	The Caretaker
229	2180	242	2008-12-20           15:00:00	1859	theatre	Iphigenia
230	2180	306	2008-12-20           20:00:00	467	opera	La Traviata
231	2180	225	2008-12-20           15:00:00	3745	theatre	Electra
232	2180	58	2008-12-20           19:00:00	7670	music	Kiss
233	2180	221	2008-12-20           14:30:00	739	musical	A Chorus Line
234	2180	211	2008-12-20           14:00:00	2612	theatre	Rhinoceros
235	2180	69	2008-12-20           19:30:00	7148	music	O.A.R.
236	2181	93	2008-12-21           15:00:00	4143	music	Flogging Molly
237	2181	97	2008-12-21           20:00:00	4443	music	Black Kids
238	2181	246	2008-12-21           14:00:00	1498	musical	Jersey Boys
239	2181	38	2008-12-21           19:00:00	6242	music	Widespread Panic
240	2181	206	2008-12-21           19:30:00	1249	musical	The Lion King
241	2181	2	2008-12-21           14:00:00	3803	music	Dropkick Murphys
242	2181	242	2008-12-21           14:30:00	2545	theatre	Julius Caesar
243	2181	129	2008-12-21           15:00:00	5526	music	Live
244	2181	218	2008-12-21           20:00:00	1131	musical	Curtains
245	2181	36	2008-12-21           15:00:00	8163	music	Seether
246	2181	60	2008-12-21           15:00:00	4917	music	Greg Kihn Band
