type,country,species,injury,date,sex,fatal
Unprovoked,USA,Great White Shark,injuries to both legs and feet,18th March,M,False
Unprovoked,Australia,Unknown shark 5ft (1.5m),minor injuries,14th March,F,False
Unprovoked,Australia,Great White Shark 10ft (3m),none reported damage to board,10th March,M,False
Unprovoked,Australia,Unknown,lacerations elbow and abdomen,5th March,M ,False
Unprovoked,New Caledonia,Tiger or bull shark implicated,deep wounds arms and legs,22nd February,M,False
Unprovoked,Cayman Islands,Juvenile Tiger shark 7ft (2.1m),minor puncture wounds to thigh,6th February,M,False
Unprovoked,Brazil,Unknown bull and tiger sharks frequent the area,right thigh and lower leg stripped of flesh,29th January,M,False
Unprovoked,Australia,Unknown,no injury shark knocked man of  his board,29th January,M,False
Unprovoked,Australia,1.7m Seven Gill shark,puncture wounds to right knee,24th January,F,False
Unprovoked,Australia,Bull shark,minor cuts and abrasions,20th January,M,False
Unprovoked,Australia,Bull shark,none reported damage to board,19th January,M,False
Unprovoked,Australia,5m shark species not determined,serious leg injuries,19th January,M,False
Unprovoked,Australia,Bull shark,serious leg injuries,18th January,M,False
Unprovoked,USA,Suspected GWS,minor puncture wounds to upper left thigh,13th January,M,False
Unprovoked,Australia,Unknown,puncture mark to left thumb,10th January,M,False
Unprovoked,US Virgin Islands,Unknown ,left arm torn off in the attack below the elbow,8th January,F,False
Unprovoked,Mozambique,Unknown,unknlown,5th January,M,False
Provoked,New Caledonia,Unknown,injuries to upper limbs,3rd January ,M,False
Unprovoked,Mozambique,Unknown,one leg missing and also a portion of the other leg,25th December,?,False
Unprovoked,Australia,Great White Shark,none to report,21st December,M,False
Unprovoked,USA,Great White Shark,taken by shark body recovered with multiple injuries,21st December,F,False
Unprovoked,USA,Suspected Great White Shark,hand injury,12th December,M,False
Provoked,USA,Black Tip Reef Shark,bite wounds to thigh,9th December,M,False
Unprovoked,Australia,3m Bull shark ,serious leg injuries,27th November ,M,False
Unprovoked,Australia,3m Bull shark ,not stated,27th November ,F,False
Unprovoked,Australia,Great White Shark,no injury to self,10th November,M,False
Unprovoked,French Polynesia,3m shark,deep gash to bicep,9th November,M,False
Unprovoked,USA,Unknown,injuries to legs,5th November,M,False
Unprovoked,USA,Not stgated,laceration on top and undermeath right foot,5th November,M,False
Unprovoked,Samoa,Suspected Tiger shark,lacerations to right leg,4th November,M,False
Unprovoked,Columbia,Nurse shark ,severe hand injury,14th October,M,False
Unprovoked,Australia,Tiger or Bull shark,serious abdonminal injuries,11th October,M,False
Unprovoked,Australia,Bronze whaler?,lacerations to calf,7th October,M,False
Unprovoked,USA,unknown 1.2m shark,leg and foot injury,29th September,M,False
Provoked,Costa Rica,Tiger shark 4m,head face and arms,27th September,M,False
Unprovoked,Australia,Great White Shark,both legs and arm severed,6th September,M,False
Unprovoked,USA,Not stated,bite to leg,1st September,M,False
Unprovoked,USA,Not stated,bite to leg,30th August,F,False
Unprovoked,Australia,5m (16.5ft) Great White,none sustained board severly damaged,18th August,M,False
Unprovoked,Bahamas,Undetermined,severe injuries no detail,17th August,M,False
Provoked,USA,Lemon shark 1.8 m (6ft),laceration to right leg below the knee,16th August,M,False
Unprovoked,Australia,Suspected Great White,none sustained board severely damaged,7th August,M,False
Unprovoked,Puerto Rico,Undetermined,bite to thigh area,1st August,F,False
Unprovoked,Australia,Great White Shark est 3m (10ft),kayak badly damaged no injury to person,28th July,M,False
Unprovoked,French Polynesia,Undetermined,injuries to right forearm left hand and calf was missing,25th July,M,False
Unprovoked,Spain,Undetermined,gash to leg,22nd July,F ,False
Unprovoked,Canary Islands,Undetermined,lacerations to left leg above the knee,20th July,M,False
Unprovoked,USA,Lemon shark,lacerations to right forearm,19th July,M,False
Unprovoked,USA,Undetermined,lacerations to left foot,18th July,M,False
Unprovoked,Bahamas,5ft (1.5m) Bull shark,lacerations to right arm,15th July,M,False
Provoked,USA,Unknown,injury to leg,6th July ,M,False
