,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
96859,0,ADULT,8,12,45 to 54 years,M6,Mission,July,2016.0,z,email,True,2013,True,
101054,0,ADULT,5,7,45 to 54 years,X,Main Library,May,2016.0,z,email,True,2015,True,
154048,0,ADULT,0,0,20 to 24 years,X,Main Library,June,2016.0,z,email,True,2016,True,
269544,0,ADULT,7,15,20 to 24 years,M2,Marina,March,2016.0,z,email,True,2015,True,
251649,0,ADULT,10,9,60 to 64 years,X,Main Library,April,2016.0,z,email,True,2015,True,
12987,0,ADULT,0,0,20 to 24 years,M4,Merced,December,2015.0,z,email,True,2013,True,
277999,0,ADULT,12,0,35 to 44 years,P3,Parkside,July,2016.0,a,print,False,2014,True,
93200,0,ADULT,118,202,45 to 54 years,E9,Excelsior,May,2015.0,p,phone,False,2005,True,
240987,0,ADULT,7,0,35 to 44 years,X,Main Library,January,2016.0,z,email,True,2015,True,
310280,1,JUVENILE,78,121,10 to 19 years,O7,Ortega,January,2016.0,z,email,True,2009,True,
25562,0,ADULT,3,1,35 to 44 years,G4,Glen Park,September,2015.0,p,phone,False,2015,True,
251541,0,ADULT,70,136,55 to 59 years,X,Main Library,March,2015.0,z,email,True,2003,True,
42398,0,ADULT,3,0,20 to 24 years,X,Main Library,April,2015.0,z,email,True,2015,True,
146973,4,WELCOME,1,0,45 to 54 years,X,Main Library,June,2015.0,p,phone,False,2015,True,
224346,0,ADULT,39,0,55 to 59 years,X,Main Library,April,2016.0,z,email,True,2011,True,
267667,0,ADULT,2,0,25 to 34 years,M4,Merced,May,2016.0,z,email,True,2010,True,
38444,0,ADULT,71,97,35 to 44 years,X,Main Library,June,2015.0,z,email,True,2009,True,
137832,0,ADULT,233,36,25 to 34 years,X,Main Library,March,2015.0,z,email,True,2003,True,
